Index,Stunde,Wochentag,Basel,Birskopfsteg,Viaduktstrasse
1,0,1,0.00433640726567895,0.00251262470747629,0.00404099509866401
2,1,1,0.0022253626505063,0.000788274418031777,0.00172647532530735
3,2,1,0.00130740588917037,0.000665106540214312,0.000770541000892205
4,3,1,0.00182098392850516,0.00187215174282547,0.00125719847513991
5,4,1,0.00251457021750712,0.00174898386500801,0.00211753936711354
6,5,1,0.00885708837935843,0.00702056903559552,0.0102371875832822
7,6,1,0.0377974668317738,0.0330459416184259,0.0426317740982353
8,7,1,0.0898143057077545,0.0876955290060352,0.104376441143413
9,8,1,0.0886660066364179,0.0731863529991378,0.0863382501187676
10,9,1,0.0472090829944671,0.0319497475058505,0.0433241022907663
11,10,1,0.0372791966342723,0.0300406453996798,0.0348452545102719
12,11,1,0.0415238935357843,0.0363837911072792,0.039581474572147
13,12,1,0.0525014108466488,0.0447222564355216,0.0561423125499693
14,13,1,0.0524630204616486,0.047087079689617,0.0517537049696998
15,14,1,0.0478685444968023,0.0530730385515458,0.0444480493146241
16,15,1,0.0505243060191432,0.0614607710309151,0.0442858301565415
17,16,1,0.0749022004942122,0.0925606601798251,0.0651657532183122
18,17,1,0.106558911965302,0.127725089296711,0.103730461281763
19,18,1,0.0946216350294348,0.0973149402635793,0.0979079522148709
20,19,1,0.0589714703986671,0.0619780761177485,0.062373266282748
21,20,1,0.0374574986446061,0.0427885207537874,0.0388543851314554
22,21,1,0.0276500349565783,0.0295972410395369,0.0293326999061446
23,22,1,0.0217229860723949,0.0220716837048898,0.0234609457376916
24,23,1,0.0114062099433656,0.0127109249907624,0.011297405652179
25,0,2,0.00495382117679971,0.00500223104201404,0.0044880407070846
26,1,2,0.00246748072575366,0.00209013409736737,0.00188037533455342
27,2,2,0.00150956384527796,0.00106855170146309,0.000854235208242973
28,3,2,0.00150681346867282,0.00086893215283812,0.000830432988818246
29,4,2,0.00264232609565181,0.00179657593762476,0.00208930592728157
30,5,2,0.00888096605799523,0.00720978840327846,0.0106025664081922
31,6,2,0.039696578452921,0.03534440243301,0.0458298511567879
32,7,2,0.0966545204796971,0.102487024729339,0.109812861661501
33,8,2,0.0938483505205677,0.0776637467415044,0.0912682880385913
34,9,2,0.0470888049456486,0.0353091754538409,0.0423653058849665
35,10,2,0.0367485676431551,0.0315164040299664,0.033812375038348
36,11,2,0.0414634989662513,0.0379864258706935,0.0386442255815676
37,12,2,0.0516257476112979,0.0408632958361711,0.0530048979678194
38,13,2,0.0504588021088316,0.0460768887531998,0.0498127558738588
39,14,2,0.0448912540381422,0.0488128508020009,0.0409927112314739
40,15,2,0.0483645867794897,0.0558347619830441,0.0422938992266923
41,16,2,0.0720303987338838,0.0888776684436721,0.0616609717652784
42,17,2,0.103702949896782,0.128531504661704,0.101222905140222
43,18,2,0.0934672269052841,0.103027171743266,0.0977636492504946
44,19,2,0.058133924480945,0.0589817054554848,0.0626262839975034
45,20,2,0.0370951150954027,0.0405932223292079,0.0389615885072306
46,21,2,0.0275403067691483,0.0250346398628496,0.0313157866897989
47,22,2,0.0224304999477428,0.0172142504873065,0.024838938315226
48,23,2,0.0127978952546574,0.00780864704915338,0.0130277480984671
49,0,3,0.00558749393731482,0.00284316396763532,0.00530716598384274
50,1,3,0.00255566980006526,0.000888488739886036,0.00199084212621939
51,2,3,0.00148278158885306,0.000639711892717946,0.000835629787189455
52,3,3,0.00144156110820684,0.0023100707237037,0.000775380617580184
53,4,3,0.0025864888510157,0.001717744897113,0.00204585223760177
54,5,3,0.00887357524490551,0.00770023574567898,0.00988086381592045
55,6,3,0.0373989183283593,0.0309786407306931,0.0421901359011704
56,7,3,0.0921381756739838,0.0924857545638705,0.104977629221371
57,8,3,0.0909917069786274,0.0767772736426854,0.0909762461099993
58,9,3,0.0475094932307881,0.0338928837975193,0.043829961126188
59,10,3,0.0374678759548609,0.0301375380569344,0.0344782421911837
60,11,3,0.0420252431141572,0.0366057360833047,0.0395784653750642
61,12,3,0.0543967806419377,0.0434056365725658,0.0562570072403785
62,13,3,0.0525407032984475,0.0475993034248279,0.0518981107956034
63,14,3,0.0475141160884306,0.051603426012581,0.0430362438048136
64,15,3,0.0504931626009276,0.0599552201675097,0.0456924463258485
65,16,3,0.0718457568138032,0.086029403054032,0.0621745235076543
66,17,3,0.100707027552617,0.122421901839764,0.0981092238859143
67,18,3,0.0914258703588917,0.103254238091289,0.0935957752234458
68,19,3,0.0582198839123398,0.0648004454290216,0.0615432169913136
69,20,3,0.0366207372918607,0.0434767156717567,0.0379648354411811
70,21,3,0.0284887454604501,0.029012118986412,0.0314107735993378
71,22,3,0.0234787234903192,0.0217383578358784,0.0259726311598227
72,23,3,0.0142095086788374,0.00972599007261915,0.0154787975313558
73,0,4,0.00655228601095874,0.0032584256153134,0.00659029696455843
74,1,4,0.00294187512562355,0.00138272673712561,0.00246066282767604
75,2,4,0.00157938097481491,0.000637256670153543,0.000893327591786735
76,3,4,0.00136050800773166,0.000372735033486034,0.000829136387586491
77,4,4,0.00252557953668843,0.00212819680409768,0.00204609463388279
78,5,4,0.00842680784701296,0.00698577595017374,0.0102973390071225
79,6,4,0.036876321281682,0.0295903521744881,0.0427326195628044
80,7,4,0.0907532328450864,0.0921617429571114,0.104578170176232
81,8,4,0.0912032928663302,0.075352595317967,0.0894317206184822
82,9,4,0.0479351659343095,0.0352054250982938,0.0442732084636103
83,10,4,0.0372671942392317,0.0318508097969195,0.033526531027086
84,11,4,0.042135230920911,0.0376582620928471,0.0390336014207653
85,12,4,0.052655036342446,0.0416260866428597,0.0529711166327434
86,13,4,0.052091368937199,0.0483593646671236,0.0509945624700775
87,14,4,0.0469301775373574,0.0538181293510803,0.0424089889082948
88,15,4,0.050594214285771,0.0632326948742921,0.0452334018931056
89,16,4,0.0724807165368656,0.0908752059060467,0.06432761050917
90,17,4,0.0998318928499644,0.123519580612969,0.0984398862745832
91,18,4,0.0902940365656885,0.0982216931789489,0.092785711037945
92,19,4,0.0578984540656746,0.058471305414277,0.0617572877076519
93,20,4,0.0374574667460065,0.0428525051401363,0.039662140295226
94,21,4,0.0288860676829893,0.0291454748764564,0.0310578442988849
95,22,4,0.0252486452518072,0.0220274381079489,0.0268372726227189
96,23,4,0.0160750476078496,0.0112662169798843,0.0168314686680058
97,0,5,0.00865169051637847,0.00422369677529933,0.00857990327152647
98,1,5,0.00419097553211753,0.00193433069709361,0.00355060710998115
99,2,5,0.00244342183031641,0.000991650547244191,0.00142900977512822
100,3,5,0.00199470833409681,0.000697828162875542,0.00123029266938442
101,4,5,0.00301272974194926,0.00186087510100144,0.00234369292362542
102,5,5,0.00850638063773565,0.00677015743982762,0.00936308245298733
103,6,5,0.0358340126534649,0.0286844102739894,0.0392174052806149
104,7,5,0.0846338425428973,0.0827722141965182,0.0963427285612005
105,8,5,0.0841361242488949,0.0662814328738278,0.0862666023758383
106,9,5,0.0493341952496027,0.0343037633750398,0.048180131211736
107,10,5,0.041059202483137,0.033495751818026,0.0394599570420374
108,11,5,0.0466529936178708,0.0420778139614603,0.0447055041715981
109,12,5,0.058458888596754,0.0472931612840038,0.0615263227107351
110,13,5,0.0563521084207714,0.049362160573933,0.0561901839594383
111,14,5,0.0528655235906966,0.0575891873362552,0.0474583205482254
112,15,5,0.0571971215860168,0.0678607281898092,0.050851122897763
113,16,5,0.0794069481985197,0.0979163095908523,0.0712283931676383
114,17,5,0.0930647984049151,0.115643593447761,0.0919884860971084
115,18,5,0.0770964785152313,0.0852084914669082,0.080398603135639
116,19,5,0.0510174035212717,0.0555569158443721,0.0523648796738702
117,20,5,0.0337455560105663,0.0384050341568522,0.0332909598328438
118,21,5,0.025840016806515,0.0293577532381675,0.0268384985169275
119,22,5,0.0238964439135828,0.031536935922235,0.0244801940414091
120,23,5,0.0206084350466973,0.0201758037266472,0.0227151185727436
121,0,6,0.0247289991492632,0.0138878161061591,0.0278983800610293
122,1,6,0.0160281566453525,0.00750776265583242,0.0156259599827971
123,2,6,0.0104873898844644,0.00519055195958784,0.010045259988941
124,3,6,0.00717637695875298,0.00256437983717733,0.00548342173708247
125,4,6,0.00593800598260106,0.00247169140932755,0.00483831329742571
126,5,6,0.00651705590164384,0.00356850447221664,0.00616948944274919
127,6,6,0.0137112708910782,0.00801754900900622,0.0156566794323046
128,7,6,0.0208012020088367,0.0153553828804474,0.0276628642814721
129,8,6,0.0338517796865995,0.0233729318894536,0.0401093612402466
130,9,6,0.049393506956832,0.0380485996323359,0.0487466464600954
131,10,6,0.0593731990449793,0.0545471397895973,0.0546806201232874
132,11,6,0.0662675979033453,0.0625801368699118,0.0601333224108624
133,12,6,0.0695779247509536,0.066596635410069,0.0670349587335395
134,13,6,0.0711332638107522,0.0741816384224429,0.0689856437772635
135,14,6,0.0743592030516754,0.08827027945561,0.0696051526756641
136,15,6,0.0745115123905705,0.094248683051921,0.068596530750169
